B,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",125.76
B,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",141.33
B,3,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",176.08
B,3,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",165.29
B,3,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",127.38
B,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",117.83
B,3,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",139.36
B,3,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",103.67
B,3,"[2016-07-19 17:40:00,2016-07-19 18:00:00)",109.3
B,3,"[2016-07-19 18:00:00,2016-07-19 18:20:00)",108.3
B,3,"[2016-07-19 18:20:00,2016-07-19 18:40:00)",91.94
B,3,"[2016-07-19 18:40:00,2016-07-19 19:00:00)",106.92
B,3,"[2016-07-20 08:00:00,2016-07-20 08:20:00)",182.66
B,3,"[2016-07-20 08:20:00,2016-07-20 08:40:00)",127.68
B,3,"[2016-07-20 08:40:00,2016-07-20 09:00:00)",134.42
B,3,"[2016-07-20 09:00:00,2016-07-20 09:20:00)",114.74
B,3,"[2016-07-20 09:20:00,2016-07-20 09:40:00)",142.06
B,3,"[2016-07-20 09:40:00,2016-07-20 10:00:00)",170.11
B,3,"[2016-07-20 17:00:00,2016-07-20 17:20:00)",114.94
B,3,"[2016-07-20 17:20:00,2016-07-20 17:40:00)",131.36
B,3,"[2016-07-20 17:40:00,2016-07-20 18:00:00)",134.24
B,3,"[2016-07-20 18:00:00,2016-07-20 18:20:00)",101.55
B,3,"[2016-07-20 18:20:00,2016-07-20 18:40:00)",113.77
B,3,"[2016-07-20 18:40:00,2016-07-20 19:00:00)",89.67
B,3,"[2016-07-21 08:00:00,2016-07-21 08:20:00)",107.11
B,3,"[2016-07-21 08:20:00,2016-07-21 08:40:00)",135.53
B,3,"[2016-07-21 08:40:00,2016-07-21 09:00:00)",158.87
B,3,"[2016-07-21 09:00:00,2016-07-21 09:20:00)",333.27
B,3,"[2016-07-21 09:20:00,2016-07-21 09:40:00)",170.66
B,3,"[2016-07-21 09:40:00,2016-07-21 10:00:00)",148.06
B,3,"[2016-07-21 17:00:00,2016-07-21 17:20:00)",167.47
B,3,"[2016-07-21 17:20:00,2016-07-21 17:40:00)",125.52
B,3,"[2016-07-21 17:40:00,2016-07-21 18:00:00)",110.95
B,3,"[2016-07-21 18:00:00,2016-07-21 18:20:00)",95.16
B,3,"[2016-07-21 18:20:00,2016-07-21 18:40:00)",131.44
B,3,"[2016-07-21 18:40:00,2016-07-21 19:00:00)",169.79
B,3,"[2016-07-22 08:00:00,2016-07-22 08:20:00)",126.73
B,3,"[2016-07-22 08:20:00,2016-07-22 08:40:00)",217.6
B,3,"[2016-07-22 08:40:00,2016-07-22 09:00:00)",121.92
B,3,"[2016-07-22 09:00:00,2016-07-22 09:20:00)",161.56
B,3,"[2016-07-22 09:20:00,2016-07-22 09:40:00)",113.62
B,3,"[2016-07-22 09:40:00,2016-07-22 10:00:00)",137.22
B,3,"[2016-07-22 17:00:00,2016-07-22 17:20:00)",115.19
B,3,"[2016-07-22 17:20:00,2016-07-22 17:40:00)",136.99
B,3,"[2016-07-22 17:40:00,2016-07-22 18:00:00)",191.51
B,3,"[2016-07-22 18:00:00,2016-07-22 18:20:00)",105.54
B,3,"[2016-07-22 18:20:00,2016-07-22 18:40:00)",82.42
B,3,"[2016-07-22 18:40:00,2016-07-22 19:00:00)",91.96
B,3,"[2016-07-23 08:00:00,2016-07-23 08:20:00)",157.78
B,3,"[2016-07-23 08:20:00,2016-07-23 08:40:00)",60.5
B,3,"[2016-07-23 08:40:00,2016-07-23 09:00:00)",92.48
B,3,"[2016-07-23 09:00:00,2016-07-23 09:20:00)",153.16
B,3,"[2016-07-23 09:20:00,2016-07-23 09:40:00)",144.09
B,3,"[2016-07-23 09:40:00,2016-07-23 10:00:00)",149.72
B,3,"[2016-07-23 17:00:00,2016-07-23 17:20:00)",116.16
B,3,"[2016-07-23 17:20:00,2016-07-23 17:40:00)",122.16
B,3,"[2016-07-23 17:40:00,2016-07-23 18:00:00)",124.94
B,3,"[2016-07-23 18:00:00,2016-07-23 18:20:00)",140.63
B,3,"[2016-07-23 18:20:00,2016-07-23 18:40:00)",63.35
B,3,"[2016-07-23 18:40:00,2016-07-23 19:00:00)",126.81
B,3,"[2016-07-24 08:00:00,2016-07-24 08:20:00)",36.31
B,3,"[2016-07-24 08:20:00,2016-07-24 08:40:00)",149.99
B,3,"[2016-07-24 08:40:00,2016-07-24 09:00:00)",16.61
B,3,"[2016-07-24 09:00:00,2016-07-24 09:20:00)",98.77
B,3,"[2016-07-24 09:20:00,2016-07-24 09:40:00)",101.02
B,3,"[2016-07-24 09:40:00,2016-07-24 10:00:00)",272.87
B,3,"[2016-07-24 17:00:00,2016-07-24 17:20:00)",248.15
B,3,"[2016-07-24 17:20:00,2016-07-24 17:40:00)",206.31
B,3,"[2016-07-24 17:40:00,2016-07-24 18:00:00)",106.74
B,3,"[2016-07-24 18:00:00,2016-07-24 18:20:00)",122.36
B,3,"[2016-07-24 18:20:00,2016-07-24 18:40:00)",156.42
B,3,"[2016-07-24 18:40:00,2016-07-24 19:00:00)",87.72
B,3,"[2016-07-25 08:00:00,2016-07-25 08:20:00)",108.82
B,3,"[2016-07-25 08:20:00,2016-07-25 08:40:00)",100.64
B,3,"[2016-07-25 08:40:00,2016-07-25 09:00:00)",138.42
B,3,"[2016-07-25 09:00:00,2016-07-25 09:20:00)",161.58
B,3,"[2016-07-25 09:20:00,2016-07-25 09:40:00)",170.83
B,3,"[2016-07-25 09:40:00,2016-07-25 10:00:00)",140.35
B,3,"[2016-07-25 17:00:00,2016-07-25 17:20:00)",118.64
B,3,"[2016-07-25 17:20:00,2016-07-25 17:40:00)",131.04
B,3,"[2016-07-25 17:40:00,2016-07-25 18:00:00)",114.77
B,3,"[2016-07-25 18:00:00,2016-07-25 18:20:00)",186.91
B,3,"[2016-07-25 18:20:00,2016-07-25 18:40:00)",127.39
B,3,"[2016-07-25 18:40:00,2016-07-25 19:00:00)",104.56
B,3,"[2016-07-26 08:00:00,2016-07-26 08:20:00)",119.13
B,3,"[2016-07-26 08:20:00,2016-07-26 08:40:00)",138.17
B,3,"[2016-07-26 08:40:00,2016-07-26 09:00:00)",128.09
B,3,"[2016-07-26 09:00:00,2016-07-26 09:20:00)",120.03
B,3,"[2016-07-26 09:20:00,2016-07-26 09:40:00)",114.45
B,3,"[2016-07-26 09:40:00,2016-07-26 10:00:00)",111.12
B,3,"[2016-07-26 17:00:00,2016-07-26 17:20:00)",123
B,3,"[2016-07-26 17:20:00,2016-07-26 17:40:00)",98.03
B,3,"[2016-07-26 17:40:00,2016-07-26 18:00:00)",137.82
B,3,"[2016-07-26 18:00:00,2016-07-26 18:20:00)",115.07
B,3,"[2016-07-26 18:20:00,2016-07-26 18:40:00)",162.83
B,3,"[2016-07-26 18:40:00,2016-07-26 19:00:00)",128.59
B,3,"[2016-07-27 08:00:00,2016-07-27 08:20:00)",141.44
B,3,"[2016-07-27 08:20:00,2016-07-27 08:40:00)",104.39
B,3,"[2016-07-27 08:40:00,2016-07-27 09:00:00)",82.27
B,3,"[2016-07-27 09:00:00,2016-07-27 09:20:00)",101.52
B,3,"[2016-07-27 09:20:00,2016-07-27 09:40:00)",130.04
B,3,"[2016-07-27 09:40:00,2016-07-27 10:00:00)",80.94
B,3,"[2016-07-27 17:00:00,2016-07-27 17:20:00)",130.69
B,3,"[2016-07-27 17:20:00,2016-07-27 17:40:00)",116.13
